| Geography | Spain |
| --- | --- |
| Location: | Southwestern Europe, bordering the Bay of Biscay, Mediterranean Sea, North Atlantic Ocean, and Pyrenees Mountains, southwest of France |
| Geographic coordinates: | 40 00 N, 4 00 W |
| Map references: | Europe |
| Area: | total: 504,782 sq km |
| Area: | water: 5,240 sq km |
| Area: | note: there are 19 autonomous communities including Balearic Islands and Canary Islands, and three small Spanish possessions off the coast of Morocco - Islas Chafarinas, Penon de Alhucemas, and Penon de Velez de la Gomera |
| Area: | land: 499,542 sq km |
| Area - comparative: | slightly more than twice the size of Oregon |
| Land boundaries: | total: 1,917.8 km |
| Land boundaries: | border countries: Andorra 63.7 km, France 623 km, Gibraltar 1.2 km, Portugal 1,214 km, Morocco (Ceuta) 6.3 km, Morocco (Melilla) 9.6 km |
| Coastline: | 4,964 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | exclusive economic zone: 200 nm (applies only to the Atlantic Ocean) |
| Climate: | temperate; clear, hot summers in interior, more moderate and cloudy along coast; cloudy, cold winters in interior, partly cloudy and cool along coast |
| Terrain: | large, flat to dissected plateau surrounded by rugged hills; Pyrenees in north |
| Elevation extremes: | lowest point: Atlantic Ocean 0 m |
| Elevation extremes: | highest point: Pico de Teide (Tenerife) on Canary Islands 3,718 m |
| Natural resources: | coal, lignite, iron ore, copper, lead, zinc, uranium, tungsten, mercury, pyrites, magnesite, fluorspar, gypsum, sepiolite, kaolin, potash, hydropower, arable land |
| Land use: | arable land: 26.07% |
| Land use: | permanent crops: 9.87% |
| Land use: | other: 64.06% (2001) |
| Irrigated land: | 36,400 sq km (1998 est.) |
| Natural hazards: | periodic droughts |
| Environment - current issues: | pollution of the Mediterranean Sea from raw sewage and effluents from the offshore production of oil and gas; water quality and quantity nationwide; air pollution; deforestation; desertification |
| Environment - international agreements: | party to: Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| Environment - international agreements: | signed, but not ratified: Air Pollution-Persistent Organic Pollutants |
| Geography - note: | strategic location along approaches to Strait of Gibraltar |
